name,roast,loc_country,origin_1,origin_2,X100g_USD,rating,review_date
Colombia Finca Lord Baltimore Papayo,Light,United States,Pitalito,Huila Department,7.33,94,20-May
Yemen Al-Obbarat,Medium-Light,United States,Al-Haimah,Yemen,44.05,95,20-Apr
Ethiopia Yirgacheffe Israel Degfa Natural Gr.1,Medium-Light,Taiwan,Yirgachefffe Growing Region,Southern Ethiopia,6.34,94,21-May
Dandelion Espresso Blend,Medium-Light,Taiwan,Ethiopia,Brazil,8.46,90,18-Jul
Ethiopia Guji Uraga Yabitu,Light,Japan,Guji Zone,Oromia Region,9.22,92,21-May
Foothills Series Hambela Ethiopia,Medium-Light,United States,Alaka District,Guji Zone,5.14,91,18-Dec
Camilina Geisha,Medium-Light,United States,Piedra Candela,Chiriqui Province,49.97,95,20-Oct
Kenya Karindundu AB,Medium-Light,United States,Nyeri County,Kenya,5.31,93,22-Oct
Kenya Kirinyaga,Light,United States,Kirinyaga District,South-Central Kenya,4.41,94,18-Mar
Shakiso Natural,Medium-Light,United States,Guji Zone,Oromia Region,5.58,94,22-Feb
Lone Peak Blend,Medium,United States,Brazil,Costa Rica,4.69,90,20-Jul
Rwanda Nyruzisa Station,Medium-Light,United States,Nyamagabe District,Southern Province,4.12,92,21-May
Guatemala Los Santos,Medium-Light,United States,Chimaltenango,Guatemala,6.47,93,22-Sep
Colombia Buesaco,Medium-Light,United States,Nariño,Colombia,5.29,93,20-Jul
Ethiopian Guji Ana Sora Alcoholic Natural G1,Medium-Light,Taiwan,Guji Zone,Southern Ethiopia,4.25,94,21-Jan
Birhanu Sisters’ Ethiopia,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,93,22-Oct
Guatemala Acatenango Gesha,Light,United States,Acatenango,Guatemala,10.58,94,21-Dec
East Fourteenth,Medium,United States,Mbeya,Tanzania,5.58,92,20-Aug
Taiwan Alishan Espresso Pacamara Natural,Medium,Taiwan,Alishan Township,Chiayi County,32,94,22-Sep
Colombia Finca El Vergal Geisha/Java Natural,Light,United States,Algeciras,Huila,11.73,93,21-Apr
Ethiopia Dumerso Light Roast,Medium,United States,Yirgacheffe Growing Region,Southern Ethiopia,7.05,92,18-Feb
Ethiopia West Arsi Nensebo Natural G1,Medium-Light,Taiwan,Guji Zone,Southern Ethiopia,7.05,95,21-Jun
Jamaica Blue Mountain,Light,Taiwan,Blue Mountain Growing Region,Eastern Jamaica.,30.93,92,21-Jul
Kenya AA Top Gatomboya,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,5.29,94,20-Oct
Sumatra Lintong Triple-Picked Reserve,Medium-Light,United States,Lintong Growing Region,North Sumatra Province,5.29,93,20-May
Kenya Ichuga AA,Medium-Light,United States,Nyeri County,Kenya,6.91,93,22-Oct
Costa Rica Termico,Light,United States,Tarrazu Growing Region,Costa Rica,5.88,91,22-Feb
Colombia Caldas Finca Villa Clara Supremo,Medium-Light,Taiwan,Caldas,Colombia,3.52,92,21-May
Green Dolphin Blend Espresso,Medium-Light,Taiwan,Ethiopia,Kenya,3.4,94,18-Sep
El Salvador,Medium,Hong Kong,Tecapa Chinameca Growing Region,Southeastern El Salvador,8.66,94,19-Aug
Ethiopia Kochere Boji,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.86,95,20-Nov
Kenya Nyeri,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,9.24,94,21-Mar
Colombia Manos Juntas,Medium-Light,United States,Cauca,Colombia,8.52,92,22-Jan
Ethiopia Yirgacheffe Koke,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,93,18-Apr
Honduras Catuai/Bourbon,Medium-Light,Honduras,Tres Cruces,Lempira Department,11.46,92,21-Jan
Ethiopia Gera Limmu Oromia,Medium-Light,United States,Limu Woreda,Oromia Region,5.14,94,18-Sep
Nano Genji #4 Espresso,Medium-Light,United States,Agaro Gera,Jimma Zone,5.51,96,20-Jun
Kenya Baragwi Guama AB,Medium-Light,United States,Kirinyaga District,South-Central Kenya,5,95,20-Oct
Rainy Day Espresso Blend,Medium-Light,Taiwan,Ethiopia,Costa Rica,4.87,94,22-Jan
Kenya Nyeri Nudurutu Factory AB,Medium-Light,Taiwan,Nyeri Growing Region,South-Central Kenya,4.25,94,18-Dec
Cold Air Espresso Blend,Medium-Light,Taiwan,Brazil,Costa Rica,4.17,93,22-Jan
Honduras COMSA Natural,Medium-Light,United States,Marcala,La Paz Department,4.7,92,22-Feb
Boru Batak Sumatra,Medium-Light,Canada,Lintong Growing Region,North Sumatra Province,3.97,94,19-Apr
Rwanda Sholi,Medium-Light,United States,Muhanga District,Southern Province,5.58,93,21-Mar
Colombia Cauca At’e,Medium-Light,United States,Paéz,Cauca Department,5.29,94,20-Jun
Sumatra Lintong,Medium,United States,Lintong Growing Region,North Sumatra Province,5,95,19-Apr
Costa Rica Cordillera de Fuego,Medium-Light,United States,Tarrazu Growing Region,Costa Rica,5.58,93,22-Jun
Nicaragua La Bastilla Estate Anaerobic,Medium-Light,United States,Jinotega,Nicaragua,5.14,93,22-Aug
Hawai’i Ka’u Champagne Natural,Medium-Light,United States,Ka’U Growing Region,Big Island Of Hawai’I,17.59,93,20-Dec
Finca Kilimanjaro Natural,Medium-Light,United States,Santa Ana Department,Northwestern El Salvador,7.71,92,19-Aug
Ethiopia Natural Yirgacheffe Banko Gotiti,Medium-Light,Taiwan,Kochere Woreda,Yirgacheffe Growing Region,4.6,94,19-Oct
Foxfire Espresso,Medium,United States,Brazil,Ethiopia,4.41,92,18-Nov
Ethiopia Idido Wegida,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.86,93,19-Dec
La Belleza Colombia,Medium-Light,United States,San Augustin,Huila,5.73,94,19-Jun
Puna Arakawa Estate Lactic Natural,Medium-Light,United States,Kurtistown,Puna,26.46,95,21-Nov
Kinini Village Rwanda,Medium-Light,United States,Northern Province,Rulindo District,5.88,94,21-Jan
Elida Estate Dragonfly Catuai Lot 13,Medium-Light,United States,Boquete Growing Region,Western Panama,6.61,94,21-Oct
Ethiopia Guji Hambela Buku Saysa Natural Process,Light,Taiwan,Guji Zone,Oromia Region,6.07,93,22-Aug
Ethiopia Kayon Mountain,Medium-Light,United States,Odo Shakiso District,Guji Zone,4.98,93,18-Nov
Indonesian Sumatra Blend,Medium-Light,United States,Sumatra,Indonesia,5.29,93,20-Aug
Bombe Natural Sidama,Medium-Light,United States,Jimma Zone,Oromia State,6.17,92,19-Feb
Costa Rica Brunca Rivense La Guaca Passion Honey,Medium-Light,Taiwan,Brunca Region,Costa Rica,5.64,94,22-Feb
Taiwan Natural Alishan Ching-Ye Farm,Medium-Light,Taiwan,Alishan,Chia-Yi,15.58,94,22-Jul
Decaf Espresso,Medium-Light,United States,Peru,Tarrazu Growing Region,3.53,89,18-Mar
Ethiopia Djimma Gera Anaerobic,Medium-Light,United States,Djimmah,Oromia Region,7.05,93,22-Aug
Ethiopia Kayon Mountain Washed,Medium-Light,United States,Odo Shakiso District,Guji Zone,5.86,94,21-Sep
Estate Carbonic Maceration,Medium-Light,Hawai'i,Ka'U Growing Region,Big Island Of Hawaii,13,90,18-Jan
Holiday Coffee,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,22.02,96,21-Nov
Kenya Kahunyo AA,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,4.85,93,22-May
Congo Kivu,Medium-Dark,United States,Kahale,South Kivu Province,3.34,92,18-Mar
The Natural,Medium-Light,United States,Banti Nenga,Oromia Region,4.98,93,21-Oct
Colombia Pink Bourbon,Medium-Light,United States,Huila,Colombia,7.33,94,19-Jun
Panama Perci Geisha Natural,Medium-Light,United States,Volcan,Panama,26.46,96,19-Nov
Andi Sumatra,Medium-Light,United States,Aceh,Sumatra,5.73,92,20-Sep
Ka‘ū Lactic Natural,Medium-Light,United States,Ka‘Ū,Big Island Of Hawai‘I,26.46,95,22-May
Ethiopia Gedeb Gotiti,Light,United States,Gedeb District,Gedeo Zone,5.88,93,18-Apr
Tano Batak Sumatra,Medium-Light,United States,Lintong Growing Region,North Sumatra Province,5.44,94,18-Jul
Ethiopia Sidama Durato Bombe,Medium-Light,United States,Bombe Mountains,Sidama Region,4.08,91,21-Nov
Colombia La Guamera Honey,Medium-Light,Hawai'i,Caldas Department,Colombia,5.58,92,19-Feb
Brazil Daterra Aramosa Anaerobic Honey,Light,United States,Cerrado Growing Region,Brazil,35.23,93,21-Mar
Ethiopia Guji Washed G1 Uncle Select Lot 21/01,Medium-Light,Taiwan,Guji Zone,Oromia Region,8.8,93,22-Jan
Ethiopia Natural Gedeb Violent Andromeda,Medium-Dark,Taiwan,Gedeb District,Gedeo Zone,15.58,93,19-Nov
Heritage Blend,Medium-Light,United States,Ethiopia,Yemen,5.29,92,20-Jul
Ecuador Finca Carolina Sidra,Medium-Light,United States,Pinchincha,Ecuador,8.8,94,20-May
Panama El Burro Estate Natural Gesha,Medium-Light,Taiwan,Potrerillo Arriba,Boquete,39.65,95,21-Dec
Kenya Kevota Makengi,Medium,United States,Central Kenya,Guji Zone,6.61,92,20-Feb
Ethiopia Haro Wachu,Medium-Light,United States,Guji Zone,Oromia Region,6.61,94,19-Feb
Haraaz Red,Medium-Light,United States,Al Mashtal Ul Burhani,Yemen,8.82,93,21-Dec
Esperanza Villa Sarchi,Medium-Light,Guatemala,Antigua Growing Region,Guatemala,4.85,92,22-Nov
Bull Demon King,Medium-Dark,Taiwan,Colombia,Peru,7.79,96,21-Aug
Trident Carmo de Minas,Medium-Light,United States,Carmo De Minas Growing Region,Northeastern Minas Gerais State,5.28,90,22-Jul
Burundi Karehe,Medium-Light,United States,Ngozi Province,Burundi,5.88,95,20-Aug
Static Peru Cajamarca,Medium-Light,United States,Peru,Kayanza,3.53,89,18-Apr
Kenya Zuri,Medium,United States,Kenya,Colombia,4.41,90,20-Feb
Aomori Espresso House Blend,Medium-Light,Taiwan,Colombia,Guatemala,6.72,92,22-Jul
Bufcafe Rwanda,Medium-Light,United States,Nyamagabe District,Southern Province,4.69,90,19-Apr
Kenya Mutungati,Medium-Light,Canada,Nakuru Province,South-Central Kenya,4.65,94,17-Nov
Taiwan Washed Alishan Ching-Ye Farm SL34,Medium-Light,Taiwan,Alishan,Chia-Yi City,11.33,94,22-Apr
Colombia Huila Geisha Las Mieles,Light,United States,Huila,Colombia,13.52,92,20-Aug
The Core Espresso,Medium,United States,Ethiopia,Guatemala,5.07,94,19-Jun
Supernatural,Medium-Light,United States,Sidama Region,South-Central Ethiopia,5.42,95,22-Jun
Nano Challa Ethiopia,Medium-Light,United States,Jimma Zone,Oromia State,5.29,93,19-Feb
Ethiopia Washed Yirgacheffe Nafasha Lot,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,94,19-Aug
Ethiopia Botabaa,Medium-Light,Taiwan,Kochere District,Gedeo Zone,2.83,93,22-Aug
Ethiopia Kayon Mountain Natural,Medium-Light,United States,Odo Shakiso District,Guji Zone,5.86,93,21-Sep
Sumatra Aceh Gayo Mountain Musara Honey Process,Medium-Light,Taiwan,Aceh Province,Sumatra,5.65,93,22-Aug
Empress Kenya,Medium-Light,Taiwan,Kiambu Growing Region,South-Central Kenya,7.82,95,20-Oct
Symphony Costa Rica Canet Caturra Raisin Honey,Medium-Light,Taiwan,Tarrazu Growing Region,Costa Rica,9.6,90,22-Oct
Ethiopia Guracho Natural,Medium-Light,United States,Guji Zone,Oromia Region,5.29,93,22-Jun
Ethiopia Guji Goro Bedessa,Medium-Light,United States,Guji Zone,Ethiopia,7.05,93,22-Jan
Estate Finca La Lina,Medium-Light,United States,Risaralda Department,Colombia,4.63,90,21-Mar
Sumatra Tano Batak,Medium-Light,United States,Lintong Growing Region,North Sumatra Province,5,94,18-Apr
414 Kenya SL34,Medium-Light,Taiwan,Kenya,Calzontes Arriba,1.41,92,21-Oct
Pluma Hidalgo Mexico,Medium-Light,United States,Pluma Hidalgo,Oaxaca State,4.7,92,21-Sep
El Salvador Loma La Gloria Black Honey,Medium-Light,United States,El Boquerón Growing Region,El Salvador,5.14,91,18-Nov
La Naranja Honduras,Medium-Light,United States,El Socorro,Comayagua Department,5,92,20-Apr
Cafe Granja La Esperanza Sudan Rume,Medium-Light,Hong Kong,Caicedonia,Valle Del Cauca Department,17.64,94,21-Sep
Colombia Pink Bourbon Honey,Medium-Light,United States,Huila Department,Colombia,8.52,95,21-Apr
Ethiopia Kochere G1,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,5.66,93,21-Apr
Panama Don Julian Pacamara,Medium-Light,United States,Horcheta,Chiriqui Province,11.02,95,17-Nov
Guatemala ASPROCDEGUA Women Producers,Medium-Light,United States,Huehuetenango,Guatemala,5.29,93,22-May
Sumatra Mutu Batak,Medium,United States,Lintong Growing Region,North Sumatra Province,4.39,94,18-Mar
Holiday Sweet Blend,Medium-Light,United States,Ethiopia,Rwanda,4.99,94,18-Dec
Philippines Sitio Naguey Natural,Medium-Light,United States,Belis,Atok,8.36,90,19-Jul
Holiday Blend,Medium-Light,United States,Yirgacheffe Growing Region,Ethiopia,5.73,93,18-Dec
Honduras Las Flores Parainema,Medium-Light,United States,Santa Bárbara,Honduras,6.47,94,19-Jan
Memory Lane,Medium-Light,United States,Brazil,Guatemala,5.29,93,22-Feb
Miraflores Colombia,Medium-Light,United States,Sevilla,San Augustin,6.47,95,20-Aug
Private Reserve Colombia Antioquia,Medium-Light,United States,Antioquia Department,Colombia,4.17,91,21-Apr
Ethiopia Guji Uraga,Medium-Light,United States,Guji Zone,Southern Ethiopia,5.29,93,19-Oct
Guatemala COE-NW#2 Sierra Roja Geisha Washed,Medium-Light,Taiwan,San Cristobal Acasaguastlán,El Progreso,19.2,96,21-Sep
First Love Blend,Light,Taiwan,Colombia,Ethiopia,6,92,22-Feb
Ethiopia Dry-Process Guji Hambela,Light,Japan,Guji Zone,Oromia Region,9.22,90,21-May
Colombia Bandida Lactic Natural,Medium-Light,United States,Huila Department,Colombia,8.52,93,21-Jun
Kenya Kiri Peaberry,Medium-Light,United States,Ngiriambu District,Kenya,5.58,94,20-Feb
Harimau Tiger Sumatra,Medium-Light,United States,Aceh Province,Sumatra,5,94,21-Mar
Ethiopia Guji Odo Shakiso,Medium-Light,United States,Guji Zone,Oromia Region,5.29,94,22-Apr
Kenya Kiambu,Medium-Light,United States,Kiambu County,South-Central Kenya,4.92,94,18-Oct
Ethiopia Washed Sidama Nafasha 74158 21/01,Medium-Light,Taiwan,Sidama Zone,Oromia Region,4.11,96,21-Jun
Ecuador Pichincha Typica,Medium-Light,United States,Pichincha Growing Region,Northern Ecuador,6.15,93,18-Apr
Yemen Al Wadi,,United States,Al Wadi Region,Sana’A Governorate,28.22,94,21-Oct
COE Brazil Naturals 2017 Sitio Esperanza 7th place,Medium-Light,United States,Mantiqueira De Minas Growing Region,Southern Minas Gerais State,7.05,92,18-May
Feku Double,Medium-Light,United States,Guji Zone,Oromia Region,11.76,93,19-Feb
Costa Rica Naranjo Cattleya,Medium-Light,United States,Naranjo,Central Valley,5.86,93,20-Nov
Dancing Tiger,Medium-Light,Taiwan,Ethiopia,Costa Rica,7.05,93,22-Jul
Ka’u Peaberry Hawai’i,Medium-Light,United States,Ka’U Growing Region,Big Island Of Hawai’I,11.32,92,22-Jan
Organic Mexico,Medium-Light,United States,Chiapas,Mexico,4.28,90,20-Aug
Chiayi Blend,Medium-Light,Taiwan,Colombia,Brazil,5.36,93,21-Nov
Costa Rica Brunca Finca Vista Passion Honey,Medium,Taiwan,Brunca,Costa Rica,5.64,93,19-Nov
Ethiopia Odola Washed,Light,United States,Uraga,Guji Zone,5.57,95,22-May
Finca Merced Guatemala,Light,United States,Chimaltenango Department,Guatemala,5,93,17-Dec
Mexico Ozolotepec,Medium-Light,United States,Oaxaca,Mexico,5.58,93,22-Sep
Guatemala Antigua Bella Carmona,Medium-Light,Taiwan,Antigua Growing Region,Guatemala,4.93,93,22-Apr
Burundi,Medium-Light,United States,Burundi,Narino Department,4.11,91,18-May
Holiday Blend,Light,Taiwan,Ethiopia,Costa Rica,9.7,93,17-Dec
Holiday Blend,Medium-Light,Taiwan,Ethiopia,Kenya,2.82,93,19-Dec
Alemu Bukato Espresso,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.51,95,18-Sep
Panama La Mula Geisha Washed,Light,Taiwan,Chiriqui Province,Western Panama,3.39,95,22-Jul
Guatemala Cobán Chicoj Cooperative Red Honey Fair Trade,Medium-Light,Taiwan,Cobán Growing Region,Central Guatemala,5.12,94,21-Mar
Kenya Kariru PB,Light,United States,South-Central Kenya,South-Central Kenya,6.17,92,18-Oct
100% Kona Bourbon Pointu Laurina,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,19.82,95,19-Feb
Kenya Kirinyaga Kii,Medium-Light,Taiwan,Kirinyaga District,South-Central Kenya,8,94,20-Oct
Costa Rica Black Honey,Medium-Light,Taiwan,Costa Rica,Guji Zone,3.89,94,21-Aug
Yemen Microlot,Light,United States,Yemen,Ethopia,33.07,96,18-Apr
Yemen,Medium-Light,United States,Yemen,North Kona Growing District,11.02,93,20-Jul
Tarime Tanzania,Medium-Light,United States,Tarime District,Mara Region,5.64,95,18-Jun
Finca Patzibir,Medium-Light,Guatemala,Lake Atitlán Growing Region,Guatemala,4.7,92,22-Nov
Project Congo Muungano,Light,United States,South Kivu,Democratic Republic Of The Congo,5.58,93,21-Mar
5a Sur,Medium,Guatemala,Antigua Growing Region,Guatemala,1.47,86,20-Oct
Ethiopia Sidamo Bensa Mirado Natural,Light,Taiwan,Sidamo Growing Region,South-Central Ethiopia,7.05,94,21-Aug
Espresso No. 3,Medium-Light,Guatemala,Antigua Growing Region,Guatemala,5.88,94,22-Nov
Indonesia Golden Sumatra TP Espresso,Medium,Taiwan,Aceh Province,Sumatra,7.2,96,21-Mar
Burundi Natural Anaerobic Kibingo,Medium-Light,United States,Kayanza,Burundi,6.76,93,22-Oct
Sumatra Tano Batak,Medium-Light,Hawai'i,Lintong Growing Region,North Sumatra Province,6.17,95,19-Feb
Guatemala Reserve Las Moritas Yellow Pacamara,Medium-Light,United States,El Progresso Department,Guatemala,6.47,93,22-Mar
Las Gravilias Costa Rica,Medium-Light,United States,Canton De Desamparados,San Jose,5.14,91,20-Sep
Costa Rica Los Torres Microlot Black Honey,Medium-Light,United States,Rivas District,Chirripo Region,5.51,93,22-Jun
Colombia Granja La Esperanza Java Anaerobic,Medium-Light,United States,Valle Del Cauca Growing Region,Colombia,49.97,95,20-Nov
Panama Pacamara Natural,Medium-Light,Canada,Volcan Growing Region,Western Panama,18.75,94,21-Feb
Kona Champagne Natural Black Rock Farm,Light,United States,Kona,Big Island Of Hawai’I,7.33,93,20-Sep
Buna Boka #1,Medium-Light,United States,Idamo (Also Sidama) Growing Region,South-Central Ethiopia,5.51,94,20-Oct
Ethiopia Alemaza Natural SOE,Medium-Light,Taiwan,Sidama Region,South-Central Ethiopia,5.1,95,22-Jun
Magic Cat Civet Ethiopia Sidamo Shantwene Litchi Rose Washed,Medium-Light,Taiwan,Sidamo Growing Region,South-Central Ethiopia,90.83,93,20-Dec
Ethiopia Duromina Agaro Gera,Medium-Light,United States,Agaro Gera,Jimma Zone,4.41,93,20-Aug
Pointu Laurina,Medium,Hawai'i,Holualoa,North Kona Growing District,29.08,95,22-Apr
Gikanda Kenya,Medium-Light,United States,South-Central Kenya,Boquete Growing Region,5.66,96,17-Nov
Ethiopia Anaerobic Shantawene,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,5.88,94,22-Mar
Rock the House Blend,Medium-Light,United States,Africa,South America,4.63,93,21-Feb
Monte Alban Mexico,Medium-Light,United States,Yautepec/Miahuatlan,Oaxaca State,5.58,93,21-Mar
Yule Blend 2018,Medium-Light,United States,Kirinyaga District,South-Central Kenya,4.41,94,17-Dec
Finca Santa Isabel,Light,Guatemala,Cobán,Alta Verapaz Department,3.82,90,21-Dec
El Obraje Geisha,Medium-Light,United States,Narino Department,Southern Colombia,15.43,95,18-May
House Blend,Medium,United States,Antioquia Department,Colombia,3.69,91,21-Sep
Costa Rica San Gabriel Pina/Canela Anaerobic Honey Espresso,Medium-Light,Taiwan,Mercedes Sur,Turrubares,9.6,93,22-Jul
Kenya AB Phoenix Special “Glory”,Medium-Dark,Taiwan,Kirinyaga District,South-Central Kenya,10.62,94,18-Oct
Flight Seasonal Espresso,Medium-Light,United States,Ethiopia,Murang'A County,5.44,94,20-Aug
Kenya Athena AB Espresso,Medium,Taiwan,Nyeri Growing Region,South-Central Kenya,12.04,94,21-Oct
Yemen Sana’a,Light,United States,Sana’A Governorate,Yemen,18.81,93,21-Oct
Peru El Corazon Gesha,Medium-Light,United States,Chirinos,Cajamarca Region,11.76,93,21-Jan
Sumatra Siamang Forest,Medium-Light,United States,Simalungun,Sumatra,7.35,94,22-Jan
Yirgacheffe Specialty Coffee,Medium-Light,Taiwan,Konga Village,Gedeo Zone,5.26,93,22-Feb
Ethiopia Dur Feres Natural,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,5.58,94,20-Nov
100% Kona Bourbon Pointu Laurina,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,19.82,95,17-Nov
Ethiopia Natural Guji TAMIRU 74158 Kakalove Lot,Light,Taiwan,Guji Zone,Oromia Region,9.91,95,22-Sep
Ethiopia Banko Gotiti Daniel Mijane,Medium-Light,United States,Gedeb District,Gedeo Zone,5.58,92,22-Jan
Kenya Gikirima Kibugu,Medium-Light,United States,Embu County,Eastern Province,5.73,94,18-Nov
Guatemala San Cristobal,Medium-Light,United States,San Cristobal,Cobán,5.95,91,19-Oct
Gachatha Kenya,Medium-Light,United States,Karundu,Nyeri County,7.05,96,22-Sep
Goddess Costa Rica Dota Tarrazu Geisha Natural,Medium-Light,Taiwan,Tarrazu Growing Region,Costa Rica,16,93,22-Oct
Organic Ethiopia Shantawene Natural,Medium-Light,United States,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,5,92,21-Nov
Berlina Geisha,Medium-Light,United States,Horqueta,Chiriquí,11.76,96,18-Sep
Ethiopia Sidama Keramo Village,Medium-Light,United States,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,7.35,94,20-Jun
Ethiopia Worka Natural,Medium-Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,4.85,93,18-Apr
Sumatra Batak Naga Saribu M-Plus,Medium,Taiwan,Lintong Growing Region,North Sumatra Province,3.68,93,18-Jul
Mexico La Cañada Oaxaca Organic,Medium-Light,United States,La Cañada,Oaxaca,7.64,91,22-Sep
El Salvador La Lagunita,Medium-Light,United States,Apaneca-Ilamatepec Growing Region,El Salvador,9.17,92,22-Nov
Laura’s Reserve SL34,Medium-Light,Hawai'i,Holualoa,North Kona Growing District,27.76,95,20-Oct
Silver Monk Seasonal Blend,Medium-Light,United States,Guji Zone,Oromia Region,5.58,92,22-Jan
Ethiopia Sidamo Natural Water Decaf,Medium-Light,United States,Guji Zone,Oromia Region,4.12,91,21-May
Lycello by Ninety Plus,Medium-Light,United States,Chiriqui Province,Far Western Panama,33.07,95,18-Apr
Kenya Gachatha AB,Medium-Light,Japan,South-Central Kenya,Acatenango,8.71,93,21-Jan
Panama Baru Geisha Honey by Joseph,Medium-Light,Taiwan,Boquete Growing Region,Western Panama,12.74,94,18-Mar
Gatugi Triple,Light,United States,Nyeri Growing Region,South-Central Kenya,11.76,95,18-Sep
Kenya Giakanja,Medium-Light,United States,Nyeri County,Kenya,6.91,92,20-Oct
Finca San Luis Colombia Espresso,Medium-Light,United States,Tolima Department,Center-West Colombia,5.14,93,18-Feb
Ethiopia Natural Yirgacheffe Blue Donkey Lot #2,Medium-Light,Taiwan,Kochere,Yirgacheffe Growing Region,4.25,94,19-Nov
Ethiopia Yirgacheffe Harfusa G1,Medium-Light,Taiwan,Yirgacheffe Growing Region,South-Central Ethiopia,5.82,93,20-Aug
Finca Santa Isabel,Medium-Light,Guatemala,Cobán Growing Region,Alta Verapaz Department,3.82,94,22-Nov
Panama Boquete Torre Lot #1 Geisha Honey,Light,Taiwan,Boquete,Panama,80,94,20-Sep
Ethiopia Buku Abela,Medium-Light,Taiwan,Guji Zone,Oromia Region,4.93,94,21-Jul
Colombia Pink Bourbon Farmer Collaboration,Medium-Light,United States,Pitalito-Bruselas,Huila Department,7.35,93,21-Jul
Guatemala Finca San Gerardo,Medium-Light,United States,Lake Amatitlán Region,South-Central Guatemala,4.41,92,21-Sep
Ecuador Taza Dorada Finca Cruz Loma,Medium-Light,United States,San Jose De Minas,Pichincha,123.46,96,22-Apr
Ethiopia Yirgacheffe Gotiti Natural,Medium-Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,5.38,95,21-Feb
Kenya AA Top Gathambi Station,Medium-Light,Taiwan,Kirinyaga,Kenya,8.8,94,21-Jun
Kenya Kiambu Gititu AA,Medium-Light,Taiwan,Kiambu Growing Region,South-Central Kenya,5.1,94,19-May
Hacienda La Esmeralda Buenos Aires Geisha Natural,Medium-Light,United States,Jaramillo,Panama,28.66,95,20-Oct
Hacienda La Esmeralda Montañas 71AS,Medium-Light,England,Boquete Growing Region,Western Panama,80,96,21-Dec
Guatemala La Voz,Medium-Light,United States,San Juan La Laguna,Lake Atitlan,6.17,94,21-Sep
Aged Sumatra Semiga,Medium-Dark,United States,Simalungun,Sumatra,8.82,94,22-Apr
Ethiopia Guji Natural Anaerobic Wush Wush G1,Medium-Light,Taiwan,Sidama Growing Region,Southern Ethiopia,9.2,93,21-May
Rwanda Agasaro,Medium-Light,United States,Western Province,Rwanda,5.57,93,22-Sep
Ethiopia,Medium-Light,United States,Sidama (Also Sidamo) Growing Region,South-Central Ethiopia,4.12,93,18-Mar
Ecuador Finca La Papaya,Medium-Light,United States,Loja Province,Southern Ecuador,6.39,92,19-Mar
Ethiopia Sidamo Washed,Medium-Light,Taiwan,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,5.24,95,21-Mar
Ethiopia Banko Gotiti Natural G1,Light,Taiwan,Kochere,Yirgacheffe Growing Region,8.44,94,17-Dec
GA 400 Espresso,Medium-Light,United States,Zambia,Colombia,4.56,93,19-Jul
#She_Builds,Medium-Light,United States,Haiti,Ethiopia,5.29,92,21-Mar
Kenya Kirinyaga,Medium-Light,Taiwan,Kenya,Tarrazu,5.66,94,21-Dec
Kenya Karindudu AA,Medium-Light,United States,Nyeri Growing Region,South-Central Kenya,6.47,95,21-May
Colombia Geisha,Medium-Light,United States,Huila,Colombia,7.61,94,18-Dec
Guatemala Valentón,Medium-Light,United States,Villa Canales,Guatemala Department,5.88,91,22-Nov
Ketiara Sumatra,Light,United States,Gayo (Also Aceh) Growing Region,Aceh Province,4.98,92,19-Apr
Finca El Potrero,Medium-Light,Guatemala,Antigua Growing Region,Guatemala,2.94,93,22-Nov
San Diego Natural,Medium-Light,United States,Tarrazu,Costa Rica,5.26,95,20-Oct
Crema de Dolce Espresso,Medium-Light,United States,Central America,South America,4.12,93,19-Jun
Trust the Process — Full Natural,Light,United States,Los Naranjos,La Argentina,8.37,96,21-Feb
La Esperanza Borbón,Medium-Light,Guatemala,Antigua Growing Region,Guatemala,4.85,90,20-Oct
Halo Hartume,Medium-Light,United States,Gedeb District,Yirgacheffe Growing Region,5.29,93,20-Nov
Ethiopia Natural Yirgacheffe Adado Feysa Dira,Medium-Light,Taiwan,Yirgacheffe Growing Region,South-Central Ethiopia,3.96,94,21-Oct
Peru San Ignacio Calazobo Lot 2 FTO,Medium-Light,United States,Cajamarca,Peru,4.41,93,20-Aug
Nicaragua Selva Negra,Medium-Light,United States,Matagalpa,Nicaragua,5.29,93,22-May
